2025-04-19 10:49:08 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider MDC:[traceId=, spanId=]
2025-04-19 10:49:08 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. MDC:[traceId=, spanId=]
2025-04-19 10:49:08 [main] DEBUG o.s.s.web.DefaultSecurityFilterChain - Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, LogoutFilter, JwtFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, SessionManagementFilter, ExceptionTranslationFilter, AuthorizationFilter MDC:[traceId=, spanId=]
2025-04-19 10:49:25 [http-nio-8012-exec-1] DEBUG o.s.security.web.FilterChainProxy - Securing GET /swagger-ui/index.html MDC:[traceId=, spanId=]
2025-04-19 10:49:25 [http-nio-8012-exec-1] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 10:49:25 [http-nio-8012-exec-1] DEBUG o.s.s.w.a.Http403ForbiddenEntryPoint - Pre-authenticated entry point called. Rejecting access MDC:[traceId=, spanId=]
2025-04-19 10:49:25 [http-nio-8012-exec-1] DEBUG o.s.security.web.FilterChainProxy - Securing GET /error MDC:[traceId=, spanId=]
2025-04-19 10:49:25 [http-nio-8012-exec-1] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 10:49:25 [http-nio-8012-exec-1] DEBUG o.s.s.w.a.Http403ForbiddenEntryPoint - Pre-authenticated entry point called. Rejecting access MDC:[traceId=, spanId=]
2025-04-19 10:49:40 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Securing GET /swagger-ui MDC:[traceId=, spanId=]
2025-04-19 10:49:40 [http-nio-8012-exec-4] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 10:49:40 [http-nio-8012-exec-4] DEBUG o.s.s.w.a.Http403ForbiddenEntryPoint - Pre-authenticated entry point called. Rejecting access MDC:[traceId=, spanId=]
2025-04-19 10:49:40 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Securing GET /error MDC:[traceId=, spanId=]
2025-04-19 10:49:40 [http-nio-8012-exec-4] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 10:49:40 [http-nio-8012-exec-4] DEBUG o.s.s.w.a.Http403ForbiddenEntryPoint - Pre-authenticated entry point called. Rejecting access MDC:[traceId=, spanId=]
2025-04-19 10:49:47 [http-nio-8012-exec-7] DEBUG o.s.security.web.FilterChainProxy - Securing GET / MDC:[traceId=, spanId=]
2025-04-19 10:49:47 [http-nio-8012-exec-7] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 10:49:47 [http-nio-8012-exec-7] DEBUG o.s.s.w.a.Http403ForbiddenEntryPoint - Pre-authenticated entry point called. Rejecting access MDC:[traceId=, spanId=]
2025-04-19 10:49:47 [http-nio-8012-exec-7] DEBUG o.s.security.web.FilterChainProxy - Securing GET /error MDC:[traceId=, spanId=]
2025-04-19 10:49:47 [http-nio-8012-exec-7] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 10:49:47 [http-nio-8012-exec-7] DEBUG o.s.s.w.a.Http403ForbiddenEntryPoint - Pre-authenticated entry point called. Rejecting access MDC:[traceId=, spanId=]
2025-04-19 10:57:00 [http-nio-8012-exec-10] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/login MDC:[traceId=, spanId=]
2025-04-19 10:57:00 [http-nio-8012-exec-10] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 10:57:00 [http-nio-8012-exec-10] DEBUG o.s.security.web.FilterChainProxy - Secured POST /api/auth/login MDC:[traceId=, spanId=]
2025-04-19 11:00:14 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/test MDC:[traceId=, spanId=]
2025-04-19 11:00:15 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Secured GET /api/auth/test MDC:[traceId=, spanId=]
2025-04-19 11:00:58 [http-nio-8012-exec-6] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/test MDC:[traceId=, spanId=]
2025-04-19 11:00:58 [http-nio-8012-exec-6] DEBUG o.s.security.web.FilterChainProxy - Securing GET /error MDC:[traceId=, spanId=]
2025-04-19 11:00:58 [http-nio-8012-exec-6] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 11:00:58 [http-nio-8012-exec-6] DEBUG o.s.s.w.a.Http403ForbiddenEntryPoint - Pre-authenticated entry point called. Rejecting access MDC:[traceId=, spanId=]
2025-04-19 11:02:23 [http-nio-8012-exec-7] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/login MDC:[traceId=, spanId=]
2025-04-19 11:02:23 [http-nio-8012-exec-7] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-04-19 11:02:23 [http-nio-8012-exec-7] DEBUG o.s.security.web.FilterChainProxy - Secured POST /api/auth/login MDC:[traceId=, spanId=]
2025-04-19 11:02:41 [http-nio-8012-exec-9] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/test MDC:[traceId=, spanId=]
2025-04-19 11:02:41 [http-nio-8012-exec-9] DEBUG o.s.s.w.a.AccessDeniedHandlerImpl - Responding with 403 status code MDC:[traceId=, spanId=]
2025-04-19 11:02:41 [http-nio-8012-exec-9] DEBUG o.s.security.web.FilterChainProxy - Securing GET /error MDC:[traceId=, spanId=]
2025-04-19 11:02:41 [http-nio-8012-exec-9] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
