2025-05-05 00:05:21 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:05:21 [http-nio-8012-exec-4] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:05:40 [http-nio-8012-exec-5] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:05:40 [http-nio-8012-exec-5] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:06:39 [http-nio-8012-exec-6] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:06:39 [http-nio-8012-exec-6] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:07:34 [http-nio-8012-exec-7] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:07:34 [http-nio-8012-exec-7] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:09:40 [http-nio-8012-exec-10] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:09:40 [http-nio-8012-exec-10] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:11:36 [http-nio-8012-exec-2] DEBUG o.s.security.web.FilterChainProxy - Securing GET /api/auth/v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:11:36 [http-nio-8012-exec-2] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:15:17 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Securing GET /v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:15:17 [http-nio-8012-exec-4] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:15:17 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Secured GET /v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:25:22 [http-nio-8012-exec-6] DEBUG o.s.security.web.FilterChainProxy - Securing GET /v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:25:22 [http-nio-8012-exec-6] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:25:22 [http-nio-8012-exec-6] DEBUG o.s.security.web.FilterChainProxy - Secured GET /v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:30:14 [http-nio-8012-exec-7] DEBUG o.s.security.web.FilterChainProxy - Securing GET /v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:30:14 [http-nio-8012-exec-7] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:30:14 [http-nio-8012-exec-7] DEBUG o.s.security.web.FilterChainProxy - Secured GET /v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:31:02 [http-nio-8012-exec-10] DEBUG o.s.security.web.FilterChainProxy - Securing GET /v3/api-docs MDC:[traceId=, spanId=]
2025-05-05 00:31:02 [http-nio-8012-exec-10] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-05 00:31:02 [http-nio-8012-exec-10] DEBUG o.s.security.web.FilterChainProxy - Secured GET /v3/api-docs MDC:[traceId=, spanId=]
